Temps (s),Depl (mm),Force (kN),Jauge 0,Jauge 1,Jauge 2,Jauge 3
549.371034,9.147,2.528312,0.000979,0.000289,-0.002069,-0.000585
550.636543,9.148,2.212082,0.00098,0.000287,-0.002072,-0.000586
553.167911,9.149,2.329981,0.00097,0.000284,-0.002064,-0.00059
555.682795,9.15,0.850659,0.000964,0.000281,-0.002068,-0.000593
556.948185,9.151,2.340942,0.000966,0.000283,-0.002071,-0.000592
559.465003,9.152,2.79835,0.000961,0.000282,-0.002071,-0.000595
560.73,9.153,1.875071,0.000963,0.000288,-0.002073,-0.000591
563.229957,9.154,2.662493,0.000972,0.000298,-0.002071,-0.00058
564.479564,9.155,1.615146,0.000977,0.0003,-0.002073,-0.000577
566.995593,9.156,2.365839,0.000971,0.000297,-0.002071,-0.000582
569.494911,9.157,2.421316,0.000968,0.000298,-0.002072,-0.000582
570.761703,9.157,2.161651,0.000966,0.000296,-0.00207,-0.000585
573.260488,9.158,2.548594,0.000955,0.00029,-0.002074,-0.000592
574.51151,9.159,2.349573,0.000958,0.000297,-0.002075,-0.000586
577.041038,9.16,2.292802,0.000958,0.000298,-0.002073,-0.000583
579.542894,9.162,2.581577,0.000958,0.000299,-0.002065,-0.000586
580.793658,9.162,2.552388,0.000956,0.0003,-0.00207,-0.000585
583.307726,9.164,2.349743,0.000952,0.000299,-0.002065,-0.000586
584.575246,9.164,3.33669,0.000953,0.000301,-0.00206,-0.000584
587.074009,9.165,2.502799,0.000949,0.0003,-0.002065,-0.000591
589.573187,9.166,2.596135,0.000946,0.0003,-0.002066,-0.000589
590.823105,9.167,2.609759,0.000945,0.000301,-0.002063,-0.000588
593.340001,9.169,2.701874,0.000952,0.000306,-0.002063,-0.000582
597.118838,9.171,2.753589,0.000947,0.000306,-0.002063,-0.000584
599.637002,9.172,2.839795,0.000943,0.000309,-0.002067,-0.000586
600.901594,9.172,3.008788,0.00094,0.000305,-0.002063,-0.000586
603.402534,9.173,2.883451,0.000947,0.000314,-0.00206,-0.00058
604.666561,9.174,2.508004,0.000952,0.000316,-0.002056,-0.000575
607.182774,9.175,2.940743,0.000955,0.000323,-0.002054,-0.000571
609.683128,9.176,3.001886,0.000955,0.000323,-0.002052,-0.000572
